h21,k_pi
100,2.5500649788545453
101,2.5512471517139805
102,2.4947596873660927
103,2.5819536758781725
99,2.5562208043805144
100,2.5734487540376674
101,2.555257942214514
102,2.556323064397918
103,2.437297878158888
99,2.4081540420669567
100,2.5202157498289885
101,2.6450147643556092
102,2.6397757095231924
103,2.7295138885230017
99,2.502852987597237
100,2.5377324882537975
101,2.569479441360387
102,2.634921811534504
103,2.5119827168134616
99,2.67886484052894
100,2.572469342541255
101,2.6073924752642026
102,2.524112427508329
103,2.73491545101553
99,2.571837813638143
100,2.607206555063843
101,2.539135787336279
102,2.5853988735017537
103,2.4760333607403915
99,2.6567172981483744
100,2.483431212691668
101,2.6149042224686143
102,2.618102639744965
103,2.6367930610690715
99,2.7097550402222685
100,2.483668300749433
101,2.5698204085689165
102,2.540844528561386
103,2.6616099928916723
99,2.5042095360544323
100,2.4926851945489616
101,2.613085266026657
102,2.696176403201577
103,2.567884098156213
99,2.562776852654974
100,2.4998191288521654
101,2.5877776341787233
102,2.5717470885233515
103,2.595940041469525
99,2.493585518025002
100,2.5168985575670204
101,2.5403443989298244
102,2.42795626573962
103,2.4209594387446014
99,2.549276428210639
100,2.5572638351209624
101,2.5166889566505266
102,2.621726056294808
103,2.447264882478652
99,2.619698247651132
100,2.520597919736238
101,2.6017207979892336
102,2.572203886516682
103,2.466139354975708
99,2.4935428653604443
100,2.4506776096085936
101,2.5660551015042206
102,2.5243571662578925
103,2.400034690698509
99,2.627807988798692
100,2.5434354759576023
101,2.5302860861865
102,2.6593021561780636
103,2.6646238386056185
99,2.632453056812525
100,2.5177563625809563
101,2.544512064712336
102,2.5907397850651863
103,2.559702640833661
99,2.646152750972517
100,2.548890021035268
101,2.5476937064935896
102,2.536246280460662
103,2.5402629801265078
99,2.583873032574499
100,2.5866887870056314
101,2.5298021994171807
102,2.606094824843457
103,2.6531445987240208
99,2.499253744870817
100,2.6402066756588964
101,2.5470157049144166
102,2.6686699078684373
103,2.4546404901435306
99,2.6181615899837167
100,2.62255074014153
101,2.6721939331521463
102,2.698881757617907
103,2.679283275892863
99,2.64806979988072
20,2.616279792284919
23,2.487384852817378
26,2.63652530062896
29,2.5196204490315237
32,2.5669085744701623
35,2.6203422340895166
38,2.7575285770417373
41,2.5413880279881234
44,2.5436992047452307
47,2.508277552467493
50,2.567006000832702
53,2.7159036176286975
56,2.582514943702919
59,2.6461180158742814
62,2.4941803125819595
65,2.679005711976263
68,2.643008743750075
71,2.6493873492920668
74,2.6665093152088897
77,2.661173390719496
80,2.5003800482015746
83,2.54477771065135
86,2.6785590746009613
89,2.4766101123339546
92,2.565078710692694
95,2.6065695420542365
98,2.6128772355272676
101,2.5202836589979283
104,2.5866359535822467
107,2.4367070142263394
110,2.515604414353842
113,2.6471430063916865
116,2.544978092311783
119,2.504314644631827
122,2.698649553171005
125,2.5782482052126903
128,2.535554599618189
131,2.5552951069194796
134,2.6661613735184413
137,2.451748677209515
140,2.564091859547725
143,2.6398542629132336
146,2.5109594108030104
149,2.6339402699636425
152,2.4995575872651274
155,2.496631874002099
158,2.614526830865183
161,2.609140477889181
164,2.5305235899750924
167,2.5467272449015432
